cod,nome,período,valor
53,DF,1979,28
52,GO,1979,163
51,MT,1979,2
50,MS,1979,62
43,RS,1979,193
42,SC,1979,79
41,PR,1979,379
35,SP,1979,570
33,RJ,1979,1726
32,ES,1979,82
31,MG,1979,435
11,RO,1979,50
29,BA,1979,116
12,AC,1979,13
28,SE,1979,22
27,AL,1979,131
26,PE,1979,297
25,PB,1979,71
24,RN,1979,46
23,CE,1979,85
22,PI,1979,7
21,MA,1979,34
17,TO,1979,0
16,AP,1979,5
15,PA,1979,117
14,RR,1979,2
13,AM,1979,55
11,RO,1980,67
12,AC,1980,12
13,AM,1980,46
14,RR,1980,0
15,PA,1980,169
16,AP,1980,2
17,TO,1980,0
21,MA,1980,29
22,PI,1980,6
23,CE,1980,159
24,RN,1980,77
25,PB,1980,127
26,PE,1980,613
27,AL,1980,148
28,SE,1980,30
29,BA,1980,139
31,MG,1980,466
32,ES,1980,122
33,RJ,1980,2093
35,SP,1980,699
41,PR,1980,367
42,SC,1980,119
43,RS,1980,227
50,MS,1980,118
51,MT,1980,22
52,GO,1980,226
53,DF,1980,21
11,RO,1981,67
12,AC,1981,8
13,AM,1981,52
14,RR,1981,2
15,PA,1981,171
16,AP,1981,4
17,TO,1981,0
21,MA,1981,54
22,PI,1981,23
23,CE,1981,187
24,RN,1981,80
25,PB,1981,133
26,PE,1981,758
27,AL,1981,190
28,SE,1981,36
29,BA,1981,124
31,MG,1981,374
32,ES,1981,130
33,RJ,1981,1774
35,SP,1981,958
41,PR,1981,451
42,SC,1981,105
43,RS,1981,237
50,MS,1981,147
51,MT,1981,38
52,GO,1981,268
53,DF,1981,81
11,RO,1982,79
12,AC,1982,18
13,AM,1982,58
14,RR,1982,1
15,PA,1982,176
16,AP,1982,8
17,TO,1982,0
21,MA,1982,62
22,PI,1982,28
23,CE,1982,149
24,RN,1982,108
25,PB,1982,112
26,PE,1982,788
27,AL,1982,185
28,SE,1982,34
29,BA,1982,211
31,MG,1982,346
32,ES,1982,114
33,RJ,1982,1575
35,SP,1982,926
41,PR,1982,488
42,SC,1982,86
43,RS,1982,256
50,MS,1982,154
51,MT,1982,24
52,GO,1982,226
53,DF,1982,101
11,RO,1983,64
12,AC,1983,12
13,AM,1983,60
14,RR,1983,2
15,PA,1983,240
16,AP,1983,12
17,TO,1983,0
21,MA,1983,56
22,PI,1983,37
23,CE,1983,217
24,RN,1983,88
25,PB,1983,120
26,PE,1983,965
27,AL,1983,267
28,SE,1983,42
29,BA,1983,154
31,MG,1983,339
32,ES,1983,118
33,RJ,1983,859
35,SP,1983,1317
41,PR,1983,550
42,SC,1983,121
43,RS,1983,253
50,MS,1983,137
51,MT,1983,51
52,GO,1983,239
53,DF,1983,93
27,AL,1984,304
11,RO,1984,106
12,AC,1984,13
13,AM,1984,83
14,RR,1984,0
15,PA,1984,296
16,AP,1984,12
17,TO,1984,0
21,MA,1984,84
22,PI,1984,36
23,CE,1984,196
24,RN,1984,67
25,PB,1984,147
26,PE,1984,1154
28,SE,1984,23
29,BA,1984,248
31,MG,1984,437
32,ES,1984,151
33,RJ,1984,1315
35,SP,1984,1864
41,PR,1984,473
42,SC,1984,120
43,RS,1984,258
50,MS,1984,177
51,MT,1984,68
52,GO,1984,241
53,DF,1984,74
12,AC,1985,23
13,AM,1985,85
14,RR,1985,3
15,PA,1985,265
16,AP,1985,15
17,TO,1985,0
21,MA,1985,74
22,PI,1985,23
23,CE,1985,163
24,RN,1985,68
25,PB,1985,140
26,PE,1985,1310
27,AL,1985,281
11,RO,1985,174
28,SE,1985,33
29,BA,1985,254
31,MG,1985,382
32,ES,1985,209
33,RJ,1985,1460
35,SP,1985,2010
41,PR,1985,440
42,SC,1985,116
43,RS,1985,219
50,MS,1985,123
51,MT,1985,118
52,GO,1985,211
53,DF,1985,150
11,RO,1986,216
12,AC,1986,25
13,AM,1986,75
14,RR,1986,3
15,PA,1986,301
16,AP,1986,7
17,TO,1986,0
21,MA,1986,104
22,PI,1986,26
23,CE,1986,143
24,RN,1986,49
25,PB,1986,195
26,PE,1986,1400
27,AL,1986,282
28,SE,1986,33
29,BA,1986,284
31,MG,1986,379
32,ES,1986,205
33,RJ,1986,1399
35,SP,1986,2126
41,PR,1986,396
42,SC,1986,105
43,RS,1986,309
50,MS,1986,136
51,MT,1986,172
52,GO,1986,285
53,DF,1986,148
27,AL,1987,274
11,RO,1987,218
12,AC,1987,51
13,AM,1987,101
14,RR,1987,0
15,PA,1987,310
16,AP,1987,9
17,TO,1987,0
21,MA,1987,116
22,PI,1987,29
23,CE,1987,141
24,RN,1987,81
25,PB,1987,149
26,PE,1987,1482
28,SE,1987,22
29,BA,1987,294
31,MG,1987,340
32,ES,1987,232
