cod,nome,período,valor
53,DF,1979,122
52,GO,1979,360
51,MT,1979,10
50,MS,1979,135
43,RS,1979,539
42,SC,1979,180
41,PR,1979,804
35,SP,1979,2397
33,RJ,1979,2430
32,ES,1979,260
31,MG,1979,1094
29,BA,1979,319
28,SE,1979,55
12,AC,1979,34
11,RO,1979,90
27,AL,1979,269
26,PE,1979,945
25,PB,1979,212
24,RN,1979,96
23,CE,1979,317
22,PI,1979,30
21,MA,1979,90
17,TO,1979,0
16,AP,1979,15
15,PA,1979,263
14,RR,1979,9
13,AM,1979,142
11,RO,1980,118
12,AC,1980,26
13,AM,1980,138
14,RR,1980,11
15,PA,1980,304
16,AP,1980,7
17,TO,1980,0
21,MA,1980,108
22,PI,1980,50
23,CE,1980,445
24,RN,1980,163
25,PB,1980,302
26,PE,1980,1121
27,AL,1980,280
28,SE,1980,82
29,BA,1980,319
31,MG,1980,1164
32,ES,1980,305
33,RJ,1980,2941
35,SP,1980,3446
41,PR,1980,831
42,SC,1980,241
43,RS,1980,633
50,MS,1980,224
51,MT,1980,38
52,GO,1980,469
53,DF,1980,145
11,RO,1981,128
12,AC,1981,28
13,AM,1981,136
14,RR,1981,16
15,PA,1981,337
16,AP,1981,15
17,TO,1981,0
21,MA,1981,145
22,PI,1981,74
23,CE,1981,496
24,RN,1981,171
25,PB,1981,342
26,PE,1981,1407
27,AL,1981,392
28,SE,1981,100
29,BA,1981,310
31,MG,1981,1108
32,ES,1981,355
33,RJ,1981,2501
35,SP,1981,4195
41,PR,1981,929
42,SC,1981,271
43,RS,1981,664
50,MS,1981,252
51,MT,1981,77
52,GO,1981,599
53,DF,1981,168
11,RO,1982,123
12,AC,1982,41
13,AM,1982,157
14,RR,1982,29
15,PA,1982,362
16,AP,1982,23
17,TO,1982,0
21,MA,1982,146
22,PI,1982,111
23,CE,1982,495
24,RN,1982,201
25,PB,1982,328
26,PE,1982,1509
27,AL,1982,430
28,SE,1982,121
29,BA,1982,491
31,MG,1982,1104
32,ES,1982,354
33,RJ,1982,2180
35,SP,1982,4183
41,PR,1982,1076
42,SC,1982,266
43,RS,1982,689
50,MS,1982,271
51,MT,1982,65
52,GO,1982,602
53,DF,1982,197
11,RO,1983,142
12,AC,1983,33
13,AM,1983,151
14,RR,1983,20
15,PA,1983,459
16,AP,1983,28
17,TO,1983,0
21,MA,1983,164
22,PI,1983,125
23,CE,1983,614
24,RN,1983,174
25,PB,1983,360
26,PE,1983,1646
27,AL,1983,558
28,SE,1983,106
29,BA,1983,372
31,MG,1983,1008
32,ES,1983,365
33,RJ,1983,1864
35,SP,1983,5858
41,PR,1983,1153
42,SC,1983,317
43,RS,1983,663
50,MS,1983,303
51,MT,1983,143
52,GO,1983,603
53,DF,1983,181
27,AL,1984,543
11,RO,1984,207
12,AC,1984,36
13,AM,1984,209
14,RR,1984,17
15,PA,1984,522
16,AP,1984,25
17,TO,1984,0
21,MA,1984,184
22,PI,1984,94
23,CE,1984,593
24,RN,1984,136
25,PB,1984,386
26,PE,1984,1857
28,SE,1984,62
29,BA,1984,512
31,MG,1984,1128
32,ES,1984,402
33,RJ,1984,2468
35,SP,1984,7080
41,PR,1984,1066
42,SC,1984,295
43,RS,1984,686
50,MS,1984,340
51,MT,1984,194
52,GO,1984,561
53,DF,1984,165
11,RO,1985,319
12,AC,1985,51
13,AM,1985,184
14,RR,1985,12
15,PA,1985,507
16,AP,1985,34
17,TO,1985,0
21,MA,1985,162
22,PI,1985,76
23,CE,1985,549
24,RN,1985,134
25,PB,1985,380
26,PE,1985,2011
27,AL,1985,512
28,SE,1985,65
29,BA,1985,540
31,MG,1985,1028
32,ES,1985,455
33,RJ,1985,2541
35,SP,1985,7027
41,PR,1985,921
42,SC,1985,263
43,RS,1985,681
50,MS,1985,253
51,MT,1985,270
52,GO,1985,523
53,DF,1985,250
11,RO,1986,371
12,AC,1986,62
13,AM,1986,159
14,RR,1986,13
15,PA,1986,582
16,AP,1986,30
17,TO,1986,0
21,MA,1986,259
22,PI,1986,103
23,CE,1986,521
24,RN,1986,104
25,PB,1986,475
26,PE,1986,2043
27,AL,1986,564
28,SE,1986,77
29,BA,1986,547
31,MG,1986,1046
32,ES,1986,483
33,RJ,1986,2454
35,SP,1986,7197
41,PR,1986,931
42,SC,1986,240
43,RS,1986,770
50,MS,1986,288
51,MT,1986,357
52,GO,1986,561
53,DF,1986,246
11,RO,1987,428
12,AC,1987,98
13,AM,1987,184
14,RR,1987,7
15,PA,1987,544
16,AP,1987,25
17,TO,1987,0
21,MA,1987,288
22,PI,1987,82
23,CE,1987,435
24,RN,1987,149
25,PB,1987,377
26,PE,1987,2187
27,AL,1987,536
28,SE,1987,68
29,BA,1987,672
31,MG,1987,1021
32,ES,1987,537
33,RJ,1987,3795
35,SP,1987,7944
41,PR,1987,922
42,SC,1987,317
43,RS,1987,822
50,MS,1987,313
51,MT,1987,382
52,GO,1987,643
53,DF,1987,324
11,RO,1988,432
12,AC,1988,76
13,AM,1988,228
14,RR,1988,70
15,PA,1988,589
16,AP,1988,20
17,TO,1988,0
21,MA,1988,343
22,PI,1988,141
23,CE,1988,508
24,RN,1988,194
25,PB,1988,402
26,PE,1988,2252
27,AL,1988,720
28,SE,1988,68
29,BA,1988,833
31,MG,1988,1029
32,ES,1988,677
33,RJ,1988,3064
35,SP,1988,7496
41,PR,1988,1004
42,SC,1988,328
43,RS,1988,1100
50,MS,1988,319
51,MT,1988,377
52,GO,1988,790
53,DF,1988,310
53,DF,1989,331
11,RO,1989,490
12,AC,1989,95
13,AM,1989,321
14,RR,1989,113
15,PA,1989,666
16,AP,1989,39
17,TO,1989,63
21,MA,1989,411
22,PI,1989,142
23,CE,1989,607
24,RN,1989,236
25,PB,1989,461
26,PE,1989,2553
27,AL,1989,805
28,SE,1989,139
29,BA,1989,1086
31,MG,1989,1216
32,ES,1989,845
33,RJ,1989,4290
35,SP,1989,9179
41,PR,1989,1112
42,SC,1989,354
43,RS,1989,1561
50,MS,1989,371
51,MT,1989,471
52,GO,1989,810
27,AL,1990,719
53,DF,1990,463
52,GO,1990,681
51,MT,1990,415
50,MS,1990,348
43,RS,1990,1704
42,SC,1990,388
41,PR,1990,1167
35,SP,1990,9503
33,RJ,1990,7101
32,ES,1990,881
31,MG,1990,1178
29,BA,1990,867
28,SE,1990,151
26,PE,1990,2742
25,PB,1990,440
24,RN,1990,200
23,CE,1990,555
22,PI,1990,109
21,MA,1990,442
17,TO,1990,54
16,AP,1990,46
15,PA,1990,748
14,RR,1990,127
13,AM,1990,367
12,AC,1990,64
11,RO,1990,555
12,AC,1991,106
13,AM,1991,403
14,RR,1991,79
15,PA,1991,810
16,AP,1991,54
17,TO,1991,92
21,MA,1991,470
22,PI,1991,103
23,CE,1991,607
24,RN,1991,219
25,PB,1991,401
26,PE,1991,2944
27,AL,1991,665
11,RO,1991,491
28,SE,1991,317
29,BA,1991,596
31,MG,1991,1232
32,ES,1991,968
33,RJ,1991,5055
35,SP,1991,9685
41,PR,1991,1225
42,SC,1991,355
43,RS,1991,1694
50,MS,1991,388
51,MT,1991,452
52,GO,1991,852
53,DF,1991,489
